Nacionalidad,Camisetas,Nombre,ID del Jugador,Entrenador,Especialidad,Bono de club formador,Lesiones,Amonestaciones,En la lista de transferencias,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Lealtad,Forma,Condición,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Fecha del último partido ,Calificación en el último partido,Posición en el último partido
Argentina,,Michael Rushton,512399465,,Cabeceador,1,,,,18,48,4570,430,9,2,5,20,6,5,2,5,7,6,6,7,1,01-07-2026,4,MC
Francia,16,Pierre-Jean Delion,501909754,,Potente,,,,,18,49,6160,780,22,2,3,14,6,6,1,6,9,4,6,3,4,01-07-2026,2.5,DLD
Argentina,,Fabián Abbiendi,503013532,,Rápido,1,,1,,18,103,7120,360,17,2,4,20,5,6,2,5,9,5,6,6,2,01-07-2026,4,MC
Argentina,4,Juan Martín Sánchez,501716533,,,1,,2,,19,78,15170,1310,23,3,4,20,7,6,2,6,11,7,3,3,2,28-06-2026,6.5,MC
Argentina,7,Néstor 'El Barbas' Agusevich,501123505,,Cabeceador,1,,,,20,24,3500,670,26,3,3,20,7,6,1,2,6,5,5,8,6,01-07-2026,4,LI
Argentina,13,José Luis Minoian,501123493,,,1,,1,,20,71,1120,390,26,2,4,20,5,6,1,7,5,3,5,2,5,01-07-2026,4,DC
Argentina,10,Diego García de Paredes,501123498,,Potente,1,,2,,20,102,10140,690,26,3,2,20,8,7,1,4,10,3,6,2,5,28-06-2026,6,MC
Argentina,19,Alexis Ojeda,501123497,,Rápido,1,,,,23,49,2480,600,26,3,2,20,3,7,1,5,9,5,5,2,4,01-07-2026,3,LD
Argentina,11,Nahuel Pulian,501123504,,Cabeceador,1,,,,24,49,6790,670,26,4,1,20,7,7,1,5,9,7,6,2,5,28-06-2026,5.5,LD
Argentina,5,Mauricio Gustavo Bassedas,501123499,,,1,,,,24,99,12230,1150,26,4,4,20,7,7,1,6,11,2,4,1,5,01-07-2026,6.5,MC
Argentina,21,Romualdo Cubero,501123507,,Cabeceador,1,,,,27,58,1370,340,26,4,1,20,6,6,1,2,5,4,6,6,3,10-06-2026,4.5,DEL
Argentina,6,Dror Fines,501123495,,Cabeceador,1,,,,28,43,1360,400,26,5,3,20,7,7,1,7,5,5,3,2,5,28-06-2026,4.5,DLD
Argentina,1,Ansu Fati,501385138,,,1,,,,28,92,4320,1370,25,5,3,20,8,6,7,1,3,2,2,2,7,01-07-2026,4,PO
Argentina,8,Emiliano José Rodríguez,501634578,,Impredecible,1,,,,29,6,3490,840,24,5,1,20,6,6,2,3,8,9,3,3,3,28-06-2026,4.5,LI
Argentina,12,Victorio Contarelli,501123491,,,1,,,,29,15,2200,920,26,4,2,20,6,6,6,4,2,1,3,1,2,14-06-2026,4,PO
Argentina,3,Feliciano Alvarez,501493026,,,1,,,,30,11,2700,840,24,5,5,20,8,6,2,9,4,6,3,3,3,01-07-2026,5.5,DLI
Argentina,9,David Schiller,501686880,,Impredecible,1,,,,31,5,1170,800,24,6,1,20,6,6,2,2,3,3,4,9,1,01-07-2026,5.5,DEL
Argentina,2,Jae-Pyo Yang,501435547,,Potente,1,,,,31,13,1970,820,25,6,3,20,8,6,2,9,6,3,3,3,3,01-07-2026,5.5,DC
